COSEWIC common name,COSEWIC population,cosewic_match,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Spring Blue-eyed Mary,,Spring Blue-eyed Mary,Extirpated,2022-12-03,Collinsia verna,Spring Blue-eyed Mary,,Extirpated,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Spring Cisco,,Spring Cisco,Endangered,2009-04-26,Coregonus sp.,Spring Cisco,,Endangered,2013-03-08,Schedule 1,2013-03-08,Quebec,Fishes (freshwater),,Added to list
Spring Salamander,,Spring Salamander,Non-active,2011-05-06,Gyrinophilus porphyriticus,Spring Salamander,,No Status,2017-06-02,No schedule,2005-01-12,"Ontario, Quebec",Amphibians,,Struck - WS reassignment
Spring Salamander,Adirondack / Appalachian population,Spring Salamander (Adirondack / Appalachian population),Threatened,2011-05-06,Gyrinophilus porphyriticus,Spring Salamander,Adirondack / Appalachian population,Threatened,2017-06-02,Schedule 1,2005-01-12,Quebec,Amphibians,,Uplisted: Special Concern to threatened
Spring Salamander,Carolinian population,Spring Salamander (Carolinian population),Data Deficient,2018-04-27,Gyrinophilus porphyriticus,Spring Salamander,Carolinian population,No Status,2017-06-14,No schedule,,Ontario,Amphibians,,Refer back
Squanga Whitefish,,Squanga Whitefish,Non-active,2018-04-27,Coregonus sp.,Squanga Whitefish,,,,,,Yukon,Fishes (freshwater),,
Squat Duskysnail,,Squat Duskysnail,Data Deficient,2003-11-01,Lyogyrus granum,,,No Status,,No schedule,,"New Brunswick, Nova Scotia",Molluscs,,
Steelhead Trout,Chilcotin River population,Steelhead Trout (Chilcotin River population),Endangered,2020-11-04,Oncorhynchus mykiss,Steelhead Trout,Chilcotin River population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Steelhead Trout,Thompson River population,Steelhead Trout (Thompson River population),Endangered,2020-11-04,Oncorhynchus mykiss,Steelhead Trout,Thompson River population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Stejneger's Beaked Whale,,Stejneger's Beaked Whale,Not at Risk,1989-04-01,Mesoplodon stejneri,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
Steller Sea Lion,,Steller Sea Lion,Special Concern,2013-11-01,Eumetopias jubatus,Steller Sea Lion,,Special Concern,2005-07-14,Schedule 1,2005-07-14,"British Columbia, Pacific Ocean",Mammals (marine),,Added to list
Stoloniferous Pussytoes,,Stoloniferous Pussytoes,Endangered,2004-05-01,Antennaria flagellaris,Stoloniferous Pussytoes,,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,,Added to list
Streaked Horned Lark,,Streaked Horned Lark,Endangered,2018-04-27,Eremophila alpestris strigata,Streaked Horned Lark,,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Birds,,Added to list
Streambank Lupine,,Streambank Lupine,Endangered,2002-11-01,Lupinus rivularis,Streambank Lupine,,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Vascular Plants,,Added to list
Striped Bass,Bay of Fundy population,Striped Bass (Bay of Fundy population),Endangered,2012-11-25,Morone saxatilis,Striped Bass,Bay of Fundy population,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (freshwater),Addition,Pending
Striped Bass,Southern Gulf of St. Lawrence population,Striped Bass (Southern Gulf of St. Lawrence population),Special Concern,2012-11-25,Morone saxatilis,Striped Bass,Southern Gulf of St. Lawrence population,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia, Prince Edward Island, Quebec",Fishes (freshwater),Addition,Pending
Striped Bass,St. Lawrence River population,Striped Bass (St. Lawrence River population),Extinct,2019-11-29,Morone saxatilis,Striped Bass,St. Lawrence River population,Endangered,2019-06-17,Schedule 1,2011-06-23,Quebec,Fishes (freshwater),,Refer back
Striped Dolphin,,Striped Dolphin,Not at Risk,1993-04-01,Stenella coeruleoalba,,,No Status,,No schedule,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Striped Shiner,,Striped Shiner,Not at Risk,1993-04-01,Luxilus chrysocephalus,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Striped Whitelip,,Striped Whitelip,Endangered,2018-04-27,Webbhelix multilineata,Striped Whitelip,,Endangered,2023-02-03,Schedule 1,2023-02-03,Ontario,Molluscs,,Added to list
Suckley’s Cuckoo Bumble Bee,,Suckley’s Cuckoo Bumble Bee,Threatened,2019-11-29,Bombus suckleyi,Suckley’s Cuckoo Bumble Bee,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Arthropods,Addition,Pending
Swamp Rose-mallow,,Swamp Rose-mallow,Special Concern,2004-11-01,Hibiscus moscheutos,Swamp Rose-mallow,,Special Concern,2006-08-15,Schedule 1,2006-08-15,Ontario,Vascular Plants,,Added to list
Sweet Pepperbush,,Sweet Pepperbush,Threatened,2014-05-02,Clethra alnifolia,Sweet Pepperbush,,Threatened,2018-02-02,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,,Uplisted: Special Concern to threatened
Swift Fox,,Swift Fox,Threatened,2021-05-05,Vulpes velox,Swift Fox,,Threatened,2012-06-20,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Mammals (terrestrial),,Downlisted
Tall Beakrush,,Tall Beakrush,Endangered,2014-11-28,Rhynchospora macrostachya,Tall Beakrush,,Endangered,2019-02-25,Schedule 1,2019-02-25,Nova Scotia,Vascular Plants,,Added to list
Tall Bugbane,,Tall Bugbane,Endangered,2018-04-27,Actaea elata,Tall Bugbane,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Tall Woolly-heads,,Tall Woolly-heads,Endangered,2018-04-27,Psilocarphus elatior,Tall Woolly-heads,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Tall Woolly-heads,Prairie population,Tall Woolly-heads (Prairie population),Non-active,2006-04-29,Psilocarphus elatior,Tall Woolly-heads,Prairie population,No Status,2009-03-05,No schedule,2003-06-05,"Alberta, Saskatchewan",Vascular Plants,,Struck - WS reassignment
Taylor's Checkerspot,,Taylor's Checkerspot,Endangered,2011-05-06,Euphydryas editha taylori,Taylor's Checkerspot,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Arthropods,,Added to list
Tessellated Darter,,Tessellated Darter,Not at Risk,1993-04-01,Etheostoma olmstedi,,,No Status,,No schedule,,"Ontario, Quebec",Fishes (freshwater),,
Thorny Skate,,Thorny Skate,Special Concern,2012-05-04,Amblyraja radiata,Thorny Skate,,No Status,,No schedule,,"Arctic Ocean, Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Nunavut, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending
Thread-leaved Sundew,,Thread-leaved Sundew,Endangered,2001-05-01,Drosera filiformis,Thread-leaved Sundew,,Endangered,2003-06-05,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,,Added to list
Threaded Vertigo,,Threaded Vertigo,Special Concern,2022-05-11,Vertigo rowellii,Threaded Vertigo,,Special Concern,2012-06-20,Schedule 1,2012-06-20,British Columbia,Molluscs,,Added to list
Threehorn Wartyback,,Threehorn Wartyback,Threatened,2013-05-03,Obliquaria reflexa,Threehorn Wartyback,,Threatened,2019-08-08,Schedule 1,2019-08-08,Ontario,Molluscs,,Added to list
Tiger Salamander,Great Lakes population,Tiger Salamander (Great Lakes population),Non-active,2012-11-25,Ambystoma tigrinum,Tiger Salamander,Great Lakes population,No Status,2018-02-02,No schedule,2003-06-05,Ontario,Amphibians,,Struck - WS reassignment
Tiger Salamander,Prairie / Boreal population,Tiger Salamander (Prairie / Boreal population),Non-active,2012-11-25,Ambystoma tigrinum,,,No Status,,No schedule,,"Alberta, Manitoba, Saskatchewan",Amphibians,,
Tiger Salamander,Southern Mountain population,Tiger Salamander (Southern Mountain population),Non-active,2012-11-25,Ambystoma tigrinum,Tiger Salamander,Southern Mountain population,No Status,2018-02-02,No schedule,2003-06-05,British Columbia,Amphibians,,Struck - WS reassignment
Timber Rattlesnake,,Timber Rattlesnake,Extirpated,2023-05-05,Crotalus horridus,Timber Rattlesnake,,Extirpated,2003-06-05,Schedule 1,2003-06-05,Ontario,Reptiles,,Added to list
Tiny Cryptantha,,Tiny Cryptantha,Threatened,2012-05-04,Cryptantha minima,Tiny Cryptantha,,Threatened,2017-02-03,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Vascular Plants,,Downlisted: Endangered to threatened
Tiny Tassel,,Tiny Tassel,Special Concern,2014-11-28,Crossidium seriatum,Tiny Tassel,,Special Concern,2019-02-25,Schedule 1,2019-02-25,British Columbia,Mosses,,Added to list
Toothcup,,Toothcup,Non-active,2014-11-28,Rotala ramosior,Toothcup,,No Status,2019-02-25,No schedule,2003-06-05,"British Columbia, Ontario",Vascular Plants,,Struck - WS reassignment
Toothcup,Great Lakes Plains population,Toothcup (Great Lakes Plains population),Threatened,2014-11-28,Rotala ramosior,Toothcup,Great Lakes Plains population,Threatened,2019-02-25,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Downlisted: Endangered to threatened
Toothcup,Southern Mountain population,Toothcup (Southern Mountain population),Endangered,2014-11-28,Rotala ramosior,Toothcup,Southern Mountain population,Endangered,,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,
Toothed Globe,,Toothed Globe,Endangered,2019-11-29,Mesodon zaletus,Toothed Globe,,No Status,,No schedule,,Ontario,Molluscs,Addition,Pending
Tope,,Tope,Special Concern,2021-05-05,Galeorhinus galeus,Tope,,Special Concern,2009-03-05,Schedule 1,2009-03-05,"British Columbia, Pacific Ocean",Fishes (marine),,Added to list
Townsend's Mole,,Townsend's Mole,Endangered,2014-11-28,Scapanus townsendii,Townsend's Mole,,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Mammals (terrestrial),,Added to list
Transverse Lady Beetle,,Transverse Lady Beetle,Special Concern,2016-11-27,Coccinella transversoguttata,Transverse Lady Beetle,,Special Concern,2021-08-12,Schedule 1,2021-08-12,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Arthropods,,Added to list
Tri-colored Bat,,Tri-colored Bat,Endangered,2013-11-01,Perimyotis subflavus,Tri-coloured Bat,,Endangered,2014-11-26,Schedule 1,2014-11-26,"New Brunswick, Nova Scotia, Ontario, Quebec",Mammals (terrestrial),,Added to list
True's Beaked Whale,,True's Beaked Whale,Not at Risk,1989-04-01,Mesoplodon mirus,,,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),,
Trumpeter Swan,,Trumpeter Swan,Not at Risk,1996-04-01,Cygnus buccinator,,,No Status,,No schedule,,"Alberta, British Columbia, Northwest Territories, Ontario, Saskatchewan, Yukon",Birds,,
Tubercled Spike-rush,,Tubercled Spike-rush,Special Concern,2010-04-25,Eleocharis tuberculosa,Tubercled Spike-rush,,Special Concern,2012-06-20,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,,Downlisted: Threatened to special concern
Tuberous Indian-plantain,,Tuberous Indian-plantain,Special Concern,2002-05-01,Arnoglossum plantagineum,Tuberous Indian-plantain,,Special Concern,2005-01-12,Schedule 1,2005-01-12,Ontario,Vascular Plants,,Added to list
Turnor's Willow,,Turnor's Willow,Special Concern,2018-04-27,Salix turnorii,Turnor's Willow,,Special Concern,2003-06-05,Schedule 1,2003-06-05,Saskatchewan,Vascular Plants,,Added to list
Tweedy's Lewisia,,Tweedy's Lewisia,Endangered,2013-11-01,Lewisiopsis tweedyi,Tweedy's Lewisia,,Endangered,2018-02-02,Schedule 1,2018-02-02,British Columbia,Vascular Plants,,Added to list
Twisted Oak Moss,,Twisted Oak Moss,Special Concern,2014-11-28,Syntrichia laevipila,Twisted Oak Moss,,Special Concern,2005-07-14,Schedule 1,2005-07-14,British Columbia,Mosses,,Added to list
Tyrrell's Willow,,Tyrrell's Willow,Not at Risk,1999-04-01,Salix tyrrellii,,,No Status,,No schedule,,"Northwest Territories, Nunavut, Saskatchewan",Vascular Plants,,
Umatilla Dace,,Umatilla Dace,Threatened,2010-04-25,Rhinichthys umatilla,Umatilla Dace,,,,,,British Columbia,Fishes (freshwater),,
Unarmoured Threespine Stickleback,,Unarmoured Threespine Stickleback,Endangered,2023-12-01,Gasterosteus aculeatus,Unarmoured Threespine Stickleback,,Special Concern,,Schedule 1,2019-08-08,British Columbia,Fishes (freshwater),Status change,Pending
Unisexual Ambystoma,Blue-spotted Salamander dependent population,Unisexual Ambystoma (Blue-spotted Salamander dependent population),Not at Risk,2016-04-29,Ambystoma (2) laterale - jeffersonianum,,,No Status,,No schedule,,"New Brunswick, Nova Scotia, Ontario, Quebec",Amphibians,,
Unisexual Ambystoma,Jefferson Salamander dependent population,Unisexual Ambystoma (Jefferson Salamander dependent population),Endangered,2016-04-29,Ambystoma laterale - (2) jeffersonianum,Unisexual Ambystoma,Jefferson Salamander dependent population,Endangered,2021-08-12,Schedule 1,2021-08-12,Ontario,Amphibians,,Added to list
Unisexual Ambystoma,Small-mouthed Salamander dependent population,Unisexual Ambystoma (Small-mouthed Salamander dependent population),Endangered,2016-04-29,Ambystoma laterale - texanum,Unisexual Ambystoma,Small-mouthed Salamander dependent population,Endangered,2021-08-12,Schedule 1,2021-08-12,Ontario,Amphibians,,Added to list
Upper Great Lakes Kiyi,,Upper Great Lakes Kiyi,Special Concern,2005-05-05,Coregonus kiyi kiyi,Upper Great Lakes Kiyi,,Special Concern,2007-12-13,Schedule 1,2007-12-13,Ontario,Fishes (freshwater),,Added to list
Ute Ladies’–tresses,,Ute Ladies’–tresses,Endangered,2018-11-01,Spiranthes diluvialis,Ute Ladies’–tresses,,No Status,,No schedule,,British Columbia,Vascular Plants,Addition,Pending
Van Brunt's Jacob's-ladder,,Van Brunt's Jacob's-ladder,Threatened,2002-11-01,Polemonium vanbruntiae,Van Brunt's Jacob's-ladder,,Threatened,2005-01-12,Schedule 1,2005-01-12,Quebec,Vascular Plants,,Added to list
Vananda Creek Benthic Threespine Stickleback,,Vananda Creek Benthic Threespine Stickleback,Endangered,2023-12-01,Gasterosteus aculeatus,Vananda Creek Benthic Threespine Stickleback,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),,Added to list
Vananda Creek Limnetic Threespine Stickleback,,Vananda Creek Limnetic Threespine Stickleback,Endangered,2023-12-01,Gasterosteus aculeatus,Vananda Creek Limnetic Threespine Stickleback,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),,Added to list
Vancouver Island Beggarticks,,Vancouver Island Beggarticks,Special Concern,2001-11-01,Bidens amplissima,Vancouver Island Beggarticks,,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Vancouver Island Marmot,,Vancouver Island Marmot,Endangered,2019-05-03,Marmota vancouverensis,Vancouver Island Marmot,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),,Added to list
Vancouver Island Shieldback,,Vancouver Island Shieldback,Endangered,2022-05-11,Steiroxys strepens,Vancouver Island Shieldback,,No Status,,No schedule,,British Columbia,Arthropods,Addition,Pending
Vancouver Lamprey,,Vancouver Lamprey,Threatened,2017-11-01,Entosphenus macrostomus,Vancouver Lamprey,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),,Added to list
Verna's Flower Moth,,Verna's Flower Moth,Threatened,2017-11-01,Schinia verna,Verna's Flower Moth,,Threatened,2006-08-15,Schedule 1,2009-03-05,"Alberta, Manitoba, Saskatchewan",Arthropods,,Refer back
Victoria's Owl-clover,,Victoria's Owl-clover,Endangered,2010-04-25,Castilleja victoriae,Victoria's Owl-clover,,Endangered,2012-06-20,Schedule 1,2012-06-20,British Columbia,Vascular Plants,,Added to list
Victorin's Gentian,,Victorin's Gentian,Special Concern,2022-05-11,Gentianopsis virgata ssp. victorinii,Victorin's Gentian,,Threatened,,Schedule 1,2005-07-14,Quebec,Vascular Plants,Status change,Pending
Victorin's Water-hemlock,,Victorin's Water-hemlock,Special Concern,2022-05-11,Cicuta maculata var. victorinii,Victorin's Water-hemlock,,Special Concern,2005-07-14,Schedule 1,2005-07-14,Quebec,Vascular Plants,,Added to list
Virginia Goat's-rue,,Virginia Goat's-rue,Endangered,2009-11-27,Tephrosia virginiana,Virginia Goat's-rue,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Virginia Mallow,,Virginia Mallow,Endangered,2010-04-25,Sida hermaphrodita,Virginia Mallow,,Endangered,2012-06-20,Schedule 1,2012-06-20,Ontario,Vascular Plants,,Added to list
Vivid Dancer,,Vivid Dancer,Special Concern,2015-05-01,Argia vivida,Vivid Dancer,,Special Concern,2019-02-25,Schedule 1,2019-02-25,"Alberta, British Columbia",Arthropods,,Added to list
Vole Ears Lichen,,Vole Ears Lichen,Endangered,2021-05-05,Erioderma mollissimum,Vole Ears Lichen,,Endangered,2012-06-20,Schedule 1,2012-06-20,"New Brunswick, Newfoundland and Labrador, Nova Scotia",Lichens,,Added to list
Wallis' Dark Saltflat Tiger Beetle,,Wallis' Dark Saltflat Tiger Beetle,Endangered,2009-11-27,Cicindela parowana wallisi,Wallis' Dark Saltflat Tiger Beetle,,Endangered,2012-06-20,Schedule 1,2012-06-20,British Columbia,Arthropods,,Added to list
Wandering Salamander,,Wandering Salamander,Special Concern,2014-05-02,Aneides vagrans,Wandering Salamander,,Special Concern,2018-02-02,Schedule 1,2018-02-02,British Columbia,Amphibians,,Added to list
Warmouth,,Warmouth,Endangered,2015-05-01,Lepomis gulosus,Warmouth,,Special Concern,,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),Status change,Pending
Warty Jumping-slug,,Warty Jumping-slug,Special Concern,2013-05-03,Hemphillia glandulosa,Warty Jumping-slug,,Special Concern,2005-01-12,Schedule 1,2005-01-12,British Columbia,Molluscs,,Added to list
Water Pennywort,,Water Pennywort,Special Concern,2014-05-02,Hydrocotyle umbellata,Water Pennywort,,Special Concern,2018-02-02,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,,Downlisted: Threatened to special concern
Water-plantain Buttercup,,Water-plantain Buttercup,Endangered,2009-04-26,Ranunculus alismifolius,Water-plantain Buttercup,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Wavy-rayed Lampmussel,,Wavy-rayed Lampmussel,Special Concern,2010-04-25,Lampsilis fasciola,Wavy-rayed Lampmussel,,Special Concern,2013-03-08,Schedule 1,2003-06-05,Ontario,Molluscs,,Downlisted: Endangered to special concern
Weed Shiner,,Weed Shiner,Not at Risk,1999-04-01,Notropis texanus,,,No Status,,No schedule,,Manitoba,Fishes (freshwater),,
Weidemeyer's Admiral,,Weidemeyer's Admiral,Special Concern,2012-05-04,Limenitis weidemeyerii,Weidemeyer's Admiral,,Special Concern,2003-06-05,Schedule 1,2003-06-05,Alberta,Arthropods,,Added to list
